userID,bookID,prediction
u17832892,b51986055
u28535205,b91885011
u40464920,b07925447
u31929076,b22678690
u73527926,b78008834
u55709561,b87404127
u79151084,b75219215
u14932975,b12003758
u90500627,b90798631
u30200661,b40662707
u09813065,b74167560
u37777796,b77680859
u33277453,b35407415
u39427052,b33110278
u43061681,b25811713
u40194605,b07035258
u45458094,b51191220
u74397671,b46006537
u88323477,b98016485
u74755688,b96054626
u02678459,b83750707
u10977499,b17187529
u16391624,b88684256
u05116917,b33796246
u76517104,b31988440
u11812235,b39989034
u89213962,b30195280
u28341796,b67030393
u63154164,b52929604
u70954895,b26385014
u87888153,b70912031
u36059952,b36541444
u55011791,b65629315
u57013532,b99246476
u08080153,b59126161
u27574933,b32751556
u67915401,b46344425
u05547314,b33860867
u82551482,b67349713
u25104497,b67550881
u23214735,b39664275
u08813961,b31687952
u05505795,b98196499
u69410428,b45609938
u15325951,b29316857
u53077655,b11338586
u42166306,b43699450
u31435767,b72244461
u44593593,b57640606
u58279293,b06585376
u50760812,b21557753
u34388414,b57640606
u16713777,b54878424
u77426864,b10847759
u97270587,b31687952
u62608231,b66664015
u44434706,b06167371
u23692066,b88562055
u11436025,b11481995
u36400510,b52485134
u62464286,b47057638
u39180025,b49401737
u74446146,b74821603
u64806975,b95080493
u18347328,b69989437
u95734346,b72782535
u89669696,b33979371
u71388930,b56114414
u36257171,b93745301
u32751804,b97454851
u04453517,b99660372
u36882881,b86459113
u81394968,b33108735
u66668300,b84892512
u87839834,b59578153
u09751381,b10161001
u13533169,b70319465
u92224973,b31189040
u35601774,b85542349
u52297020,b49534145
u91812581,b80730701
u73439668,b07812624
u59427493,b20830788
u93558841,b93997659
u61123213,b01153970
u37397098,b44393400
u26631519,b03946791
u24364162,b99643124
u53932352,b21458320
u88526870,b34463991
u21228185,b69294942
u78660387,b00553199
u06613819,b15854967
u46163037,b59060758
u81381807,b88977919
u22251863,b15595003
u28869059,b27096444
u18608818,b89745317
u37814436,b48166789
u13762315,b50966235
u37654165,b85321421
u07465760,b88487078
u32205882,b86609689
u53316865,b81292094
u59454397,b78275112
u70342019,b87612334
u71325009,b73189974
u51138958,b22931155
u61910512,b78275112
u02593633,b62474102
u35936857,b98630806
u87526946,b75851389
u33954973,b31024771
u92604009,b23760358
u23454223,b99351465
u59578778,b08349503
u95539341,b08004121
u58203956,b96067067
u82800446,b34162962
u40975335,b82237545
u58869438,b67327791
u73527926,b79124168
u14724197,b66416013
u67425035,b85771728
u04020080,b21674268
u87536260,b70912031
u47111313,b25811713
u77780266,b31988440
u97839657,b09589765
u42908851,b29422431
u81563683,b56466462
u17506708,b37068431
u99668182,b89407369
u45232796,b68725737
u54080242,b23457095
u18916604,b59769368
u52845021,b74821603
u36027745,b23482469
u96139443,b73113066
u52920278,b07892193
u85792025,b89126781
u54462421,b92037806
u30368658,b29802159
u21859054,b80294058
u26988846,b80294058
u94282918,b72304066
u45925174,b35611681
u03876907,b09049778
u51155758,b46139942
u74607539,b62396194
u36371479,b87278779
u02742084,b79975924
u08635157,b02994747
u70119162,b83261549
u28608500,b65216323
u77653227,b69294942
u32843326,b06167371
u53671195,b67603049
u22529997,b54791634
u57691866,b82757636
u05877740,b70912031
u98727990,b74821603
u44490709,b41681847
u67679994,b70930132
u82320863,b47096249
u33293362,b86547231
u21916867,b95822040
u94941744,b68297715
u94186215,b13222925
u59785153,b47294825
u49410191,b73029799
u22106833,b74929101
u90247104,b76693158
u58489973,b83789266
u97321596,b68605354
u88764781,b71794852
u67732706,b86212728
u71709665,b36766414
u78507710,b05154189
u03455641,b20135529
u64140187,b25847150
u57819425,b02880533
u52104442,b91417770
u31026561,b79253970
u83790986,b29802159
u61720642,b58973293
u84755501,b67550881
u05981024,b04493477
u25624112,b50497268
u87493816,b35202318
u83568220,b26847239
u42888420,b97979733
u08366344,b62718965
u14802767,b91973790
u21843326,b18610759
u45774623,b65216323
u07687298,b41528340
u21992632,b38399229
u24505190,b57704283
u83812412,b43479570
u26648078,b30733957
u88295409,b74950254
u74766535,b86602880
u06631256,b54878424
u07030880,b29802159
u59636391,b31051286
u13757407,b54878424
u29957683,b85321421
u24168550,b73525767
u08772195,b15038153
u47937032,b27702770
u79255809,b89324149
u47770036,b53876123
u96276787,b51311359
u82956871,b87612334
u87196060,b17187529
u34411200,b18978605
u78320642,b78647061
u89051699,b03458965
u51578155,b69472393
u44772209,b64609180
u32539520,b64242065
u50576549,b67956548
u37953732,b79060225
u68489862,b43196456
u09276918,b93936801
u40026320,b39837030
u67959066,b42435031
u05683639,b36717912
u21996577,b74575407
u46286492,b58973293
u47128242,b88978481
u97519657,b07219308
u16313811,b29802159
u69400892,b60484296
u42623478,b66709767
u71691792,b77424871
u16907294,b95822040
u24627448,b80596244
u72613109,b09589765
u69836498,b42027204
u06596345,b91758795
u76866297,b74929101
u63411149,b34463991
u40026320,b87439329
u99847795,b88487078
u78865788,b77333717
u34196022,b07666694
u09900567,b15268547
u82743368,b57640606
u03872994,b03923117
u92182338,b43521644
u91947449,b56662995
u89339696,b73029799
u08583410,b61430045
u46750985,b93997659
u24578404,b90171057
u07942271,b44683019
u67254919,b69669795
u47435641,b19867465
u37219802,b22652791
u81782380,b14338293
u12420829,b42224573
u17853860,b43020589
u88463198,b65216323
u69907152,b01714936
u93974269,b74511960
u86159262,b20914110
u14664592,b50384790
u70204404,b65411088
u59097838,b98115511
u56532040,b06167371
u56670410,b46888254
u67999292,b15439387
u58075185,b17187529
u60268852,b41451971
u73068045,b68325129
u11000700,b26138336
u28103686,b47053602
u80795062,b17741315
u57652846,b23760358
u30857102,b79547504
u19430511,b35195484
u81584177,b36312601
u57507741,b30307775
u06836736,b91686353
u90161361,b25044151
u88003271,b08349503
u21105866,b20048021
u40687924,b04222499
u05596175,b92959743
u92893117,b92631370
u50818174,b31220669
u92156745,b57002888
u24991825,b84216708
u12979312,b76879592
u10651443,b79928088
u64719754,b81174865
u06735615,b89468718
u60680040,b63532485
u81394968,b40598851
u13361980,b19494868
u35331717,b42920311
u53631766,b44745371
u65237721,b64124445
u27190101,b98353918
u25014237,b44387119
u45696130,b13108919
u45841327,b26138336
u09360315,b40171933
u49054308,b37466269
u54087832,b15301527
u48759176,b81969648
u27930660,b80225628
u17995223,b57828547
u54992485,b14071263
u47543760,b14338293
u20834864,b10080165
u34838073,b74504784
u38967305,b13298774
u72687448,b12315103
u24960667,b46006537
u45302325,b57181185
u12706841,b90614996
u24439241,b87691807
u04622054,b63880346
u76876687,b33010441
u30018275,b70912031
u54879215,b65442043
u33198378,b21357510
u84473749,b85321421
u58577923,b59845564
u30449230,b52741866
u00634922,b41208156
u85427698,b03946791
u55886139,b41797398
u21871147,b65606948
u98657958,b87612334
u37289164,b40128170
u10047988,b80596289
u42754261,b06167371
u74239087,b28927044
u34922819,b41331137
u79532573,b86785429
u13520744,b28961368
u08772951,b12601599
u61990000,b62670070
u57576587,b95113879
u24102322,b61863874
u19927708,b83551310
u10219070,b32231889
u92890643,b29576446
u91971941,b61372131
u65878317,b30155139
u02468696,b03303291
u57910016,b43253434
u61896213,b22348421
u31351971,b68397888
u45302325,b28003505
u86723822,b51332181
u86908092,b41076898
u06951934,b18851396
u85637116,b94989213
u77812132,b07611214
u09011204,b82924906
u88364695,b43697974
u19585150,b36794167
u22031629,b74609159
u67219568,b22785797
u76985267,b23482469
u07797579,b94443713
u87640306,b66908318
u82898215,b20790379
u58138062,b98115511
u47187009,b56751792
u36131391,b53321055
u15304336,b15354652
u22638248,b81364235
u23717959,b68453196
u26627440,b80506673
u07717247,b87715366
u32158343,b28615151
u28698182,b20071798
u09727257,b86480331
u83929428,b65558862
u02521315,b13363712
u36972830,b75286945
u36188595,b28024225
u85697519,b62983645
u69467295,b80122439
u36181550,b91143227
u20550800,b69647795
u67240063,b89414726
u31779061,b52296426
u86729641,b08004121
u99921499,b60484296
u64359997,b77049201
u94462479,b14547631
u05538641,b15860915
u85874040,b57704283
u25150350,b52736396
u14602932,b86878381
u29721715,b90354954
u81733782,b78565713
u69870873,b65522865
u49557543,b80625075
u96432194,b71271368
u45015223,b03047230
u39733358,b78340580
u91339463,b36270312
u45304050,b55479304
u18386395,b28190473
u38307982,b35983880
u01523010,b70516496
u64806975,b06167371
u15517221,b33935257
u31779061,b24413532
u28566111,b49970233
u26620170,b74821603
u99891147,b99719030
u36595805,b33391853
u52553170,b59032154
u73483912,b07278059
u44817726,b76040943
u44838323,b35701970
u72459900,b31988440
u13002793,b44076377
u11650490,b12526023
u19565331,b13298774
u95657757,b53423202
u49565084,b46823063
u70619581,b92153730
u01851844,b05154189
u28052333,b78420438
u84640872,b08632997
u95366749,b08545824
u05217581,b54695184
u32865322,b55180043
u62989688,b26086823
u87797295,b36185570
u81603581,b97659010
u65137470,b18610759
u17017375,b82853645
u54944528,b09041547
u48272048,b72782535
u64170741,b39065480
u85279952,b08233764
u16000787,b01916632
u76581684,b74719644
u91976155,b01550538
u56908186,b70912031
u76884862,b96858256
u99033847,b72304066
u46393481,b65411088
u22469457,b08899763
u75516217,b13298774
u54383607,b35067156
u75299123,b49553867
u49769897,b76818058
u38598201,b49323159
u53896424,b18273848
u55421732,b66739789
u68835807,b24274613
u14288259,b96751354
u66384984,b02582153
u78500596,b53813950
u96221414,b28563077
u71577849,b90422949
u32859467,b28190473
u03935283,b61292623
u52469728,b76401400
u76493802,b44683019
u34298647,b80479144
u25019169,b84216708
u59366660,b62282738
u26119989,b08004121
u21406724,b17943549
u92143703,b13363712
u34282027,b28995195
u56433236,b34463991
u93701587,b79124168
u05767988,b92040053
u45977223,b98092403
u47208813,b50453414
u92593828,b55420143
u95744085,b61652439
u33821481,b34366076
u36289598,b93284084
u94253888,b06594639
u55965395,b42373487
u66973658,b50453414
u89961384,b93745301
u46998792,b29208717
u18116932,b70977140
u35914294,b42977080
u32178809,b28063904
u18535395,b68622451
u33923576,b49553867
u28723442,b74729345
u74324910,b34969157
u17418998,b83439687
u87744255,b35186530
u39367336,b52929604
u54945950,b15574895
u12420829,b13061166
u56293881,b92969085
u16352297,b62474102
u06394160,b08157430
u37676096,b96762753
u15974149,b41402498
u76435061,b47057638
u68091606,b31821160
u26988846,b02994747
u11669076,b57648353
u55537243,b56105038
u81516821,b85940383
u42361961,b15869276
u40884330,b45357639
u79071470,b59575409
u01809108,b18722570
u70338038,b81524397
u60335990,b78275112
u68352780,b78008834
u91443728,b95074507
u81516821,b19867465
u23837890,b34463991
u14273133,b14338293
u57097005,b57528832
u14123217,b27581388
u06054472,b63666979
u54133019,b30321639
u86001108,b88182084
u93974269,b94907376
u41531497,b82329113
u87581315,b42977080
u37049782,b12120726
u19505129,b78275112
u50332309,b24054097
u67999292,b16024414
u98090000,b41516337
u98545063,b34105659
u99085053,b99747486
u43658390,b39605350
u69591350,b88934153
u41204141,b61652439
u22635990,b51332181
u43993729,b68095123
u91199153,b32140664
u92899534,b76264408
u07113986,b71663032
u03384038,b89572033
u21712639,b89765180
u83420102,b07278059
u22050499,b39989034
u81675303,b48706456
u53207613,b79994865
u12863900,b36312601
u91002090,b52217488
u26560649,b31891913
u92568486,b70912031
u12774240,b31515038
u57926665,b26385014
u88853909,b17585340
u38498558,b35526856
u94162633,b57106359
u08169589,b52929604
u48085056,b23676302
u79886506,b29738200
u22855708,b39081955
u07300183,b79230811
u12659756,b26688492
u46151453,b36724264
u75289760,b97815152
u47210463,b95439113
u70954895,b36265270
u41668604,b11752294
u79037033,b50284484
u80593202,b39125372
u30409902,b34740941
u16078636,b45651575
u83726401,b54791634
u97415339,b94989213
u83625488,b65861714
u96236857,b21674268
u01012215,b56779366
u27524637,b23904035
u04711675,b29031862
u67927839,b94383831
u95309858,b56265715
u26480193,b40650642
u20023701,b13363712
u37413774,b12526023
u84659559,b79640364
u88115527,b03833044
u77801734,b39255385
u87425979,b22145663
u64822917,b91712126
u83462080,b22146898
u16972854,b80070869
u28314087,b77136574
u36736490,b22931155
u55962026,b19638250
u21455793,b14780202
u15830741,b51600462
u81107945,b35052984
u21745269,b32462937
u56125369,b35710234
u54167256,b62853608
u32201663,b09365531
u76458355,b74821603
u64174592,b56779366
u13193770,b47078971
u54975067,b23409289
u55968905,b11179371
u81733782,b37268934
u57992518,b26246971
u50607347,b94660986
u08684872,b70701888
u35888656,b80968418
u02895928,b75489513
u44476914,b72860992
u35516653,b06167371
u35762606,b10847759
u67583013,b70305381
u80545919,b10017690
u64545887,b24751294
u61915780,b37068431
u75605780,b09049778
u35585970,b78275112
u57621911,b46271044
u93187835,b98545244
u71789175,b44595908
u03683135,b25958104
u97308548,b49740475
u67823996,b70664431
u70942160,b22890843
u15480196,b01338628
u96564934,b07278059
u38881381,b87439329
u21050739,b23760358
u44233952,b44966320
u73558910,b69989437
u49953278,b29275769
u86731282,b78008834
u50200767,b46966835
u81819770,b38905954
u67022889,b59949154
u65160312,b44711938
u90906465,b57218619
u82237145,b38808804
u64956182,b00524153
u11700670,b09049778
u14713988,b48933583
u01941044,b82853645
u56978314,b56105038
u74048466,b52842739
u24564954,b17585340
u42363330,b64898087
u45361269,b90916310
u04233462,b74821603
u36959851,b00525842
u51391110,b91561409
u43954066,b52929604
u64777635,b04721365
u22657768,b08775775
u51867888,b43253434
u27083770,b32857815
u29469733,b70930132
u24500253,b68177426
u79071470,b46139637
u73430196,b26385014
u56739270,b72304066
u35751887,b55439788
u82082699,b52580354
u72353631,b13528908
u80946521,b34953904
u51397900,b59463893
u95385647,b82237545
u25275900,b66664015
u08033335,b95835140
u99300918,b47096249
u55660726,b51986055
u46610042,b45502382
u34509392,b91305242
u61359485,b66908318
u12644553,b43914262
u42379341,b08545824
u67722132,b93167405
u31009022,b79928088
u07714593,b10239804
u43895438,b37351373
u29767619,b82664640
u51753276,b73029799
u43677577,b19867465
u74130691,b54851751
u87030214,b31475886
u56513076,b43253694
u36371479,b32735719
u58603509,b52736396
u77359351,b05487017
u28385354,b89040055
u62476721,b41681847
u57620334,b42977080
u36744906,b97887852
u64696137,b40598851
u60096443,b63603925
u52332444,b64644552
u62006992,b44711938
u76233544,b19555371
u78924680,b90354954
u01233617,b91947769
u70122119,b96561626
u04378661,b36185570
u18651336,b03458965
u18078448,b91712126
u37388614,b86376623
u80790488,b88863965
u15513950,b02853730
u99667811,b52943381
u37227811,b59349150
u62791337,b07831192
u64950799,b82148195
u18087204,b43943356
u30634133,b74511960
u44844841,b88121768
u80467110,b56679875
u84677719,b49991872
u66498301,b74034107
u67992417,b12870754
u56696518,b63778311
u41616068,b57603464
u84275184,b86788370
u38681053,b54791634
u53612807,b26385014
u32266495,b74929101
u98234059,b14304119
u67945073,b44991539
u03347120,b07278059
u37151082,b61409403
u59125785,b49970233
u69755750,b91712126
u50432897,b44393400
u94739078,b54043673
u58290085,b89572033
u84406996,b06036306
u01202500,b91686353
u57136295,b51986055
u89730132,b93997659
u35948326,b50453414
u76296850,b11338586
u39798574,b10567312
u09177853,b29719714
u44155125,b33298668
u55917884,b40650642
u91349598,b54369491
u94781916,b14362802
u04714058,b55690375
u85341043,b89324149
u46750513,b46302737
u83413783,b28190473
u21568344,b56492521
u68046015,b75541992
u73405112,b99606483
u62607484,b66416013
u60318173,b83882616
u14320975,b03671144
u71534018,b93625021
u55485367,b98076835
u67276630,b70907276
u05585950,b58888536
u06074875,b79098002
u84895769,b27818520
u06297054,b82329113
u03036443,b72097645
u30422161,b17952463
u30056847,b20135529
u50504240,b84494926
u96133884,b80148153
u45236465,b77430629
u41853271,b14127810
u15334321,b32356492
u12654238,b19733783
u83431794,b60735581
u38031588,b70912031
u20151217,b05231805
u87135518,b36265270
u90380363,b17347267
u86564889,b19516972
u92206515,b80294058
u55003901,b92260212
u33233647,b52217488
u16088176,b79124168
u45373868,b41432738
u79510721,b07278059
u72820303,b41227312
u27866473,b83613787
u57303935,b04222499
u93072426,b02553999
u85246452,b92889205
u09843908,b98115511
u21345561,b15982933
u98706240,b34348391
u21032666,b29376205
u06892979,b87403363
u12662095,b45675681
u89252747,b64124445
u57670660,b49638571
u13933041,b80070869
u96328255,b05154189
u70215459,b86843272
u68273311,b52013289
u60775907,b48197202
u50651594,b64609180
u14326097,b80393221
u66656293,b31362596
u09985071,b89324149
u60929263,b44944170
u80089148,b97302773
u05235592,b91561409
u39124154,b68763841
u97333368,b85903526
u84488887,b48544437
u51198604,b13527792
u44074400,b42749067
u16334013,b38122928
u72852701,b08349503
u84183781,b62424088
u42908851,b51839247
u80063775,b78275112
u08348830,b39065480
u69624585,b64538575
u78890347,b49494082
u42379341,b17064684
u82463056,b52339175
u34639302,b29802159
u87713011,b67957413
u74359142,b80625075
u87064752,b40598851
u08485213,b88562055
u68151481,b02562594
u14321575,b79098002
u67401519,b84462089
u55922493,b25857180
u42450388,b60500282
u85507276,b38730188
u42490917,b69989437
u71411945,b05154189
u42568606,b48132407
u60730394,b90221134
u71597309,b05231805
u66511793,b80102793
u63405810,b18378777
u55151260,b37823595
u50418565,b44711938
u40693355,b28482269
u29402137,b00793888
u98248980,b47963916
u82663123,b29738200
u33196947,b85232762
u81710512,b96067067
u36945000,b17187529
u71596436,b91499032
u78226466,b32288653
u80722645,b49401737
u51292741,b68526080
u20470952,b20816244
u42862074,b73921727
u92627476,b66649969
u07978766,b89115141
u25267874,b20790379
u90662972,b84718404
u82104078,b96921455
u17772402,b62853608
u50968237,b08349503
u15205414,b18591671
u13042828,b22348421
u81601965,b04374540
u24651790,b17104949
u17832892,b90354954
u88294871,b45033558
u17578542,b38181410
u84104407,b63952476
u89904986,b94263614
u84971128,b25413123
u62742755,b11693904
u26474410,b20358707
u41975057,b28293389
u50022901,b37664187
u58351738,b60324633
u95609691,b28344559
u78972100,b51485694
u21939148,b62325202
u64758440,b13696850
u17614225,b35891508
u23801765,b67584295
u72954995,b37561328
u15115958,b17138341
u42032908,b98256804
u47551440,b37548208
u41544146,b99145398
u78959848,b43479570
u64194060,b96064020
u56476563,b57648353
u59388666,b96067067
u60784419,b29505914
u91887946,b34681163
u96846642,b88562055
u17197868,b33076549
u28422828,b67327791
u48780568,b98552213
u36123598,b01153970
u12090226,b54878424
u57831743,b97497122
u84028674,b77680859
u93257727,b75817040
u15168124,b70912031
u28972617,b16250758
u31153985,b59575230
u53524250,b88947899
u16439759,b06313374
u50907671,b14848528
u21750681,b80663565
u96035221,b13408974
u08571355,b81697368
u14379793,b15174884
u82422854,b45502382
u73945283,b93745301
u97599229,b89324149
u35920455,b77075271
u20690061,b61863874
u71248221,b49495549
u81878835,b69089192
u99370997,b15722276
u25413191,b00782849
u61677470,b83439687
u76765810,b20432964
u77429543,b77049201
u18978787,b26635003
u32552754,b82890607
u18978787,b43914262
u08687150,b98844131
u80622283,b21674268
u72161401,b15192631
u38738834,b29998162
u12181648,b09050359
u72524116,b86788370
u97022165,b37657413
u26918913,b68959843
u05910977,b33699537
u35361860,b26335963
u59999954,b64937687
u43151402,b33091876
u26550736,b01916632
u46850648,b08233764
u65751729,b18705025
u70979918,b16140171
u95255205,b06949973
u79791816,b26924525
u51710996,b80102793
u97323931,b51286612
u36640806,b95000069
u15756535,b91885011
u85396590,b88022221
u32210322,b39801005
u59675957,b68095123
u89821099,b39664275
u65778808,b54781444
u77851940,b27702770
u60138529,b24293098
u58490707,b00192663
u64300581,b99247649
u30737169,b56492521
u84678486,b31494232
u43325773,b52596260
u66387653,b79357715
u31686106,b27545570
u29914551,b04374540
u24519371,b40598851
u96923265,b62181786
u03624496,b08157430
u99700431,b88863965
u67675183,b21674268
u50088550,b43253434
u17747950,b15869276
u15536587,b15268547
u67997191,b81697368
u27618700,b41516337
u77862968,b23457095
u86846430,b72304066
u90080324,b55038744
u99858833,b16365742
u01407603,b68325129
u80712308,b19406922
u64016045,b43479570
u37206432,b58973293
u56333201,b52329323
u15819872,b95128552
u43549521,b42439813
u31578245,b88947899
u02549216,b18610759
u42463198,b15268547
u41282928,b02603859
u50504817,b36265270
u62751709,b68461819
u84885041,b65667329
u34430399,b77628606
u28479372,b01899333
u72106791,b09589765
u40240965,b72244461
u99858833,b09589765
u33361904,b81292094
u02083514,b36231626
u24960667,b26138336
u85359985,b18960449
u63401049,b56550745
u90163228,b29505914
u39330888,b28990678
u68031774,b51332181
u95657757,b64272891
u36706416,b17616770
u68025492,b80102793
u68482799,b27977641
u64421437,b78565713
u73697982,b06036306
u99020810,b22568561
u71327853,b62424088
u63642313,b90302136
u01424915,b50852802
u09106076,b95785803
u67917390,b22078248
u39883972,b32391924
u02911293,b23760358
u81733782,b40934702
u50842814,b33701355
u64942243,b83439687
u67750003,b54907466
u83069395,b75100696
u36000420,b15461905
u09914656,b05819688
u09030946,b17064684
u57830157,b60508787
u89137466,b37351373
u73200394,b59349150
u08352664,b00524153
u53888663,b89983785
u92597680,b13094463
u34994876,b58973293
u81289277,b10567312
u35222662,b22348421
u09392278,b35067156
u36570670,b08004121
u39175239,b12526023
u51284711,b11516322
u74166501,b09365531
u47543760,b43876918
u21555884,b34240968
u59573039,b47931880
u42166306,b40598851
u45498790,b58973293
u98863562,b86376623
u65037244,b89512519
u66150750,b34953904
u34739050,b05124623
u36127964,b45373576
u16860952,b80871817
u69947367,b12151882
u34282775,b02130926
u11235329,b28612211
u73130203,b10396782
u03438966,b15439387
u51171707,b65859895
u07792754,b03370511
