userID,reviewID,prediction
u77355739,r70788666
u66798278,r84486703
u17321760,r11120207
u80328866,r18170595
u10178570,r04790808
u03665255,r50536988
u72746995,r47354724
u43216577,r58832013
u53814727,r18234454
u72804214,r17392994
u96163672,r14743169
u62653994,r82488984
u65323910,r26185021
u37840457,r73845924
u57654258,r72653903
u28159180,r32030660
u14345836,r93872546
u51270443,r20645127
u67655509,r04493622
u02917698,r18751021
u00159719,r46046203
u91123146,r23712412
u16197272,r58729529
u88046925,r07227558
u96456604,r76026885
u72804214,r70262211
u90792038,r13604625
u84896968,r29235771
u73395600,r97368940
u81720460,r59729447
u79081695,r50971414
u58111030,r25328102
u42126726,r92914639
u29897790,r25604150
u95730625,r85913483
u47289012,r03824230
u48874438,r23602294
u22497171,r80428978
u69723566,r93906380
u75359479,r14206943
u40844127,r75221037
u28439396,r16277374
u07768797,r51345958
u63076463,r30281368
u63077794,r50822394
u56133187,r61511984
u08981428,r24324705
u08308817,r34524544
u23099654,r40239325
u28795015,r36834967
u64948286,r79433382
u97598222,r30897987
u38138068,r33581541
u58249444,r10649295
u30202884,r28316680
u38738313,r10654010
u37627982,r73262396
u76148638,r08852655
u59679210,r63368089
u39578564,r84846163
u12539379,r19617383
u37828477,r36814960
u13753816,r75370119
u29214017,r51333787
u03055380,r55764890
u03176103,r64125412
u59543272,r04869172
u79294617,r67693485
u72028097,r33478219
u59291397,r91474805
u64965289,r36285833
u20507882,r43572175
u29055294,r54593512
u57418313,r22250593
u08324161,r98241777
u93016731,r47321950
u01479789,r30600338
u13115559,r42797702
u31311161,r19299360
u67349944,r35991120
u67079006,r02412624
u47144795,r74917855
u79894760,r92445934
u45184875,r43162075
u24144509,r50249260
u50070580,r57550430
u98177972,r65335003
u98770389,r43907984
u97966386,r87508378
u25689995,r60552959
u30913945,r90286428
u66832027,r63982549
u37257617,r81748997
u35943564,r07556962
u84515103,r39803466
u59526616,r98736663
u59623056,r89342526
u68599151,r43122942
u98855696,r35030750
u53519548,r99632225
u84313107,r31961341
u94919518,r48935929
u59336592,r90218314
u79081602,r55076780
u55212029,r52067376
u98350884,r52175554
u50680107,r42781740
u05559223,r72063761
u61430025,r09702545
u60599373,r31172412
u72876280,r49746155
u68496329,r94907270
u10714722,r15286099
u54820215,r90221110
u93609110,r12725610
u38363490,r80926265
u95032298,r63906235
u69290092,r94315310
u60286718,r15480183
u16026927,r68005159
u23941842,r36264940
u83595529,r12896952
u00072218,r51010365
u70446001,r29976909
u86863736,r17789187
u46132517,r58901155
u01534641,r44103555
u33233584,r03756168
u63692996,r57100785
u34306716,r73875644
u04175640,r33888023
u66372748,r21900446
u32012256,r99155691
u71900454,r45372310
u97205379,r24854933
u66907852,r78500650
u27548055,r14130286
u44989740,r26280238
u45287348,r14303854
u49910228,r66737760
u48468579,r98502920
u36677370,r89721146
u61779291,r79612789
u73060926,r16739958
u49182429,r70201527
u83433888,r83337252
u39082912,r37583039
u66116171,r81554402
u34964666,r85764704
u17990448,r33805771
u71374959,r28719719
u27032306,r07278739
u37326405,r30737590
u75376047,r58357818
u22264845,r80284766
u62999851,r12862581
u79456345,r89821214
u14346293,r38812589
u85814381,r45396105
u71213492,r50856350
u81370943,r52950275
u19497528,r63404720
u27506226,r88662186
u65458360,r05018932
u38738310,r20131498
u79945794,r49209354
u81908915,r58936315
u49446751,r71562264
u90876142,r01287526
u15413171,r33500142
u62863720,r11446926
u30048766,r36090077
u90074912,r89248571
u45025398,r02166743
u88043508,r59705185
u78105126,r41797375
u72454939,r13129563
u72785308,r91942247
u53322515,r44528003
u78155381,r78631685
u48298559,r07112887
u44061276,r26229996
u26741088,r94385541
u14049180,r42043339
u22231418,r43131721
u72429458,r30619142
u88962915,r85598192
u01523638,r09109281
u91299748,r56447303
u11770619,r38564318
u49599584,r67848072
u70283854,r15403231
u72022839,r44167265
u27024722,r66692983
u37087004,r03257285
u84618726,r05420699
u35431281,r07746384
u03375708,r52711516
u44382201,r01343926
u30879161,r31377067
u01848604,r90322447
u21240940,r46521328
u02128810,r50043159
u29713588,r20830945
u71576615,r74725947
u93496791,r21204427
u04294337,r60844618
u00349594,r02386844
u28978003,r94337077
u81405141,r67166716
u87624241,r61735022
u43264352,r07425325
u93621980,r50705285
u58228091,r04485142
u03531571,r96406036
u59556672,r98666976
u61783915,r30767358
u34587343,r05641638
u42255656,r80869586
u12185441,r96674646
u72887026,r49265081
u64356215,r85288000
u23994731,r36054454
u27423449,r10803634
u14152594,r76775319
u78950211,r30567269
u18688761,r56955209
u16553835,r46242309
u59658926,r00784931
u82079331,r94329441
u80544821,r41234984
u98837649,r33423768
u83803454,r55481880
u75349109,r80802980
u13034465,r11201655
u23052020,r00741207
u61414574,r28910170
u55343490,r54084727
u82745080,r20693342
u43451597,r48734485
u86039001,r22765343
u44093521,r11718674
u86606602,r47270472
u77582998,r52399940
u89215333,r94702237
u28060990,r63926309
u46527852,r22609835
u07205355,r31595848
u94930759,r38594523
u54692134,r82827898
u37623051,r43109051
u42406512,r60464649
u15617488,r45262581
u31657048,r47531694
u67298116,r69362102
u26634789,r35214967
u00491151,r45268772
u33278168,r71679055
u74984729,r53292307
u05123743,r26303465
u03897822,r56155726
u26485272,r74388560
u91643218,r69134920
u84629457,r18020238
u24773494,r66467471
u01696183,r17346602
u48886557,r10418265
u53788762,r93818728
u13969117,r26845261
u62827401,r01903623
u98549232,r82620157
u12814637,r73563452
u28494446,r71424889
u41303320,r55259673
u10435145,r49751620
u47783414,r38555324
u03714484,r92247517
u41632535,r91087383
u13551545,r06824714
u03268576,r21065962
u29540545,r90066399
u59815928,r72168465
u97456880,r58065702
u11911421,r89217045
u14722858,r55238225
u09836459,r58333598
u06130660,r20869458
u12181101,r16290109
u88127386,r01521832
u60005293,r25821041
u57178993,r73125303
u85308978,r31224676
u84803588,r40076630
u03003444,r00157603
u81783313,r70254598
u23538254,r00059058
u74269659,r08891195
u79335081,r85967205
u34558019,r77990614
u16998336,r99167135
u86821666,r53318587
u20334234,r26032256
u86740183,r00274552
u97081007,r44058718
u85291418,r12247190
u73427512,r47919563
u07914828,r37538202
u76742183,r17120552
u35008400,r77212043
u83723032,r38902966
u55885991,r95892358
u77525925,r10202281
u53883463,r41459365
u95936320,r61108464
u76604100,r27437815
u94229638,r71690589
u31254504,r17031277
u54836013,r57613199
u44010096,r97422961
u47188115,r49075524
u52346063,r46636559
u45974208,r89450058
u87134460,r50865629
u03485606,r33689934
u39146838,r53916733
u53511978,r85919196
u09440404,r48477853
u46956832,r26713885
u48031257,r35290919
u92361273,r48264559
u77502321,r61686985
u46285303,r04423801
u54840543,r56966527
u14228696,r54702886
u73210490,r80590832
u76548904,r95664917
u72624436,r52805849
u19544642,r07919307
u71071759,r92605205
u45789558,r45011467
u43869530,r43351029
u33197118,r23149811
u68497332,r69302805
u99520864,r12007156
u34389133,r57136822
u64936098,r71679111
u46374894,r18896957
u27027789,r86538155
u28295869,r41693732
u20141234,r08248903
u63673522,r74453780
u56758535,r69862966
u33364550,r62207361
u89874522,r33837252
u40069003,r34444894
u28695126,r73472124
u03630852,r44256216
u27980179,r00302913
u50601854,r21755314
u84525568,r55176886
u12292602,r00098764
u58056032,r62981298
u46179700,r13643979
u68374304,r59341669
u81343783,r46393121
u01302444,r31011458
u24797291,r53817977
u08042450,r75554383
u06398322,r11843645
u72256607,r47731045
u36838159,r10354220
u92866633,r83864268
u38490368,r76624045
u20812966,r77752470
u69541556,r43650179
u65382265,r60097255
u79820814,r15899448
u01951946,r67240909
u82069931,r96946387
u31825237,r87514036
u43961979,r83255640
u70312210,r61254018
u19795011,r28182611
u71158911,r56686754
u51676813,r22619492
u25720470,r69426743
u79429130,r15535944
u55480954,r42574161
u70498516,r51962578
u36919989,r79865414
u22231418,r80368828
u19924816,r37889292
u70605759,r00722356
u52203316,r86006971
u53299348,r19447091
u61530309,r23561780
u86546860,r58863963
u20337920,r18126983
u52170263,r04519642
u22338673,r67419273
u48297772,r83587078
u70022006,r83427379
u56258848,r10123706
u00584665,r56657234
u04939790,r01049644
u66291936,r62455424
u57502372,r94410924
u50613280,r09983413
u85726395,r62302400
u94143965,r76135990
u31723091,r43974488
u11347907,r76354067
u24390666,r82288927
u65276839,r35484024
u67302774,r68167416
u05811110,r66821133
u27072333,r79468269
u03924192,r19986257
u55914746,r71327076
u94813863,r63795760
u72804214,r02652740
u51841323,r26967740
u93707928,r31704547
u69359594,r23315969
u39672594,r55149569
u26316465,r40618472
u63829236,r21140002
u73169710,r13461872
u31234496,r98054378
u12939562,r10862595
u22563438,r43115979
u32516604,r23716728
u41811885,r95328202
u22410550,r50984923
u25642231,r46350844
u89793339,r07936830
u21669898,r78867021
u40762302,r72727036
u88558965,r11623226
u37441557,r02294685
u43241314,r20490233
u99412550,r66852150
u79568554,r97702792
u34739050,r15712745
u68052853,r00959487
u73584735,r82030583
u95859691,r73062732
u81789170,r60259554
u31681973,r76335028
u24050868,r44934260
u92513095,r57076089
u71886440,r71845392
u89939695,r89562327
u64250012,r33070845
u70084551,r59086819
u51796076,r62777008
u41531497,r60374665
u51829727,r61480708
u77378041,r15432181
u59377932,r44984878
u12376172,r70641712
u49889874,r07854495
u01714243,r09124863
u82771255,r81229380
u30994327,r44139446
u14166838,r20062556
u93060574,r68572025
u95637616,r14536066
u69299344,r75227175
u67821655,r54826608
u36679220,r30621991
u04752118,r01449200
u97564187,r79199503
u78123118,r35228845
u01508667,r97648876
u05174399,r54902305
u69446361,r14522590
u22571573,r84154027
u20559705,r57414249
u33003719,r92475492
u82311797,r99957614
u31421151,r99518109
u54892568,r33865121
u08907118,r29735949
u29897790,r15865120
u14320885,r64879424
u63878620,r27543765
u82513238,r83991554
u00177161,r86521164
u14646087,r08193352
u30265499,r58128648
u46175157,r30900279
u73611331,r71724252
u01940528,r73102663
u45172110,r23441643
u35717574,r51878018
u19231407,r60819338
u70519087,r83232548
u17307703,r75751963
u70612405,r87074352
u41966708,r69743888
u45274099,r72971369
u27891965,r02131982
u52317001,r83821291
u47659628,r64168049
u12526109,r00932578
u77866319,r77959251
u08825166,r91916754
u20574733,r04658149
u95950370,r54747575
u40459486,r52256759
u08042450,r31466664
u57845362,r31742591
u21165868,r34612807
u94947182,r61802098
u56827328,r29197347
u78687661,r55479173
u42989990,r96115186
u55319680,r95384344
u69566286,r78054742
u66950078,r37736883
u20710916,r87770213
u63849611,r60897661
u35397545,r80419968
u14722672,r84558747
u86090630,r00838749
u71519196,r11876942
u35408787,r29221148
u13891964,r06494285
u11832567,r12383299
u20427352,r19708582
u03935283,r66491621
u76464317,r63107069
u88409433,r94056365
u57564107,r47370680
u53418243,r98765482
u69088300,r32630409
u33003719,r26582342
u02359499,r58020461
u86757792,r46086595
u81906577,r61642967
u51517809,r59776884
u36011234,r10324649
u73463215,r42851836
u59119929,r80977498
u11500308,r20152110
u24391664,r86534275
u08798842,r02494546
u05848987,r57347081
u37196497,r51030918
u80575905,r44997377
u52321275,r06699931
u98160496,r36127931
u95852901,r02602076
u89955823,r25541409
u34964666,r80045560
u50788831,r87955411
u23098414,r96147686
u36203524,r13136262
u52873855,r41127893
u07695723,r40485125
u56689682,r46732782
u01964555,r30676311
u88378843,r99269966
u98679937,r00124813
u03515654,r36041306
u90242623,r98620995
u65271369,r55279001
u12827926,r97883630
u71046573,r88845799
u20022747,r16233895
u18965951,r36187926
u95273133,r38798608
u92526582,r99778810
u92414845,r01338746
u74006510,r12172914
u06773982,r55940264
u86726517,r35262413
u87775532,r66278381
u28189223,r68662615
u34181414,r25866299
u22418116,r84249358
u41172148,r52563321
u83481272,r05158394
u78433743,r26613929
u19518856,r64165103
u47892312,r90165929
u73527926,r70890930
u79323303,r19814158
u61032800,r31254866
u82924516,r43472679
u69441515,r21746457
u70112051,r81121573
u77924058,r32691473
u28956925,r67326538
u14276490,r96843415
u53355328,r47327085
u07006971,r85865405
u89806996,r38909748
u28254404,r72380893
u83221111,r70157649
u85723801,r79353576
u64281805,r70055375
u94996121,r93065410
u92327028,r87211336
u69090727,r96091630
u40820842,r01466145
u21818963,r93192247
u48306236,r27196607
u58588632,r32440597
u70648599,r89795590
u56768932,r39894317
u66478051,r59316544
u60639121,r78514292
u60414253,r05242125
u34528037,r12555487
u10158998,r79771376
u85703601,r75953467
u14941326,r33443871
u85837701,r54925273
u05671762,r49063872
u21212133,r71144004
u96905697,r06140275
u11540951,r46086322
u52332997,r75008587
u89851401,r26781550
u87284324,r93947835
u83680400,r83871075
u29897790,r02294364
u01065701,r23754071
u23593217,r87545667
u33543742,r20169953
u78081950,r49477452
u82956918,r41208798
u64204193,r90507039
u11538779,r73718321
u72636017,r07197739
u23709095,r28577114
u89308669,r63500598
u50136905,r20476306
u05344831,r41241142
u16852768,r47092786
u45971239,r22584718
u04031705,r40233672
u77640274,r89325182
u33129637,r87721374
u32915149,r67809750
u86310527,r86129914
u49271916,r01196200
u39271251,r65438875
u82353497,r03874911
u70889029,r19316130
u48049420,r12673101
u82979897,r91413958
u89648158,r32158659
u95791426,r63050003
u07284420,r52168691
u42262337,r68255955
u78883116,r90973783
u12005563,r16213582
u43339370,r54772914
u70534697,r27143105
u46666073,r63820414
u71004022,r64861797
u62217557,r04200279
u80723576,r56503510
u95358727,r30948129
u51555347,r56763445
u99891017,r48320330
u41966708,r91876529
u85613053,r17860618
u10258306,r41428224
u61657634,r15218332
u30339542,r56896442
u74390766,r40692289
u64240311,r48849024
u11343488,r75312190
u48598528,r02038394
u82931860,r58802580
u02747856,r04645657
u30412736,r10589647
u51148531,r08298705
u14518948,r41949251
u17528020,r70059442
u04709231,r94935973
u56253069,r25889663
u30913240,r92048877
u14602932,r43273637
u50313875,r45095632
u31929303,r51279283
u55474880,r04814800
u68592362,r91133679
u65296530,r22827805
u80414607,r04493769
u24661311,r25746806
u47404787,r19019433
u29478272,r72293537
u24162851,r04256036
u55621816,r14060999
u18817816,r81032495
u35209612,r92553410
u65616295,r56934920
u69072454,r40044875
u00355836,r33308618
u81124305,r73063011
u54575276,r04580822
u59684023,r22507983
u58297335,r24575064
u43417075,r55439586
u81147906,r02828402
u96217137,r28475217
u47299393,r17874946
u00678780,r63834703
u88803154,r56496208
u92455428,r31537323
u94645658,r94878175
u11733729,r09839185
u70730818,r41883525
u34649400,r77417431
u91691063,r73241641
u35541325,r13632603
u00629910,r33420441
u18332506,r69204774
u95191128,r44326342
u28201874,r60267942
u19684908,r35691990
u93261978,r42377515
u28664062,r31969315
u97885810,r32821913
u66865962,r73984858
u23639565,r49846688
u40754742,r30204513
u45236465,r79549542
u42445219,r77456963
u20749897,r61818469
u22210455,r92843275
u38167747,r13381915
u48132788,r11461555
u30392680,r90081945
u70899625,r83366159
u08381515,r47796736
u47914147,r50047452
u59765453,r21189429
u48533823,r88846854
u00522184,r49251627
u52078593,r58227027
u93664558,r92606019
u51643953,r20777927
u65081969,r56065816
u45696038,r75626549
u51675723,r28601355
u20672662,r27918390
u30352006,r09489342
u98063507,r21887966
u45612669,r76116303
u50692600,r65455572
u11075271,r17423115
u22210580,r60272859
u55935250,r27045001
u06002535,r24569793
u54876772,r97297985
u99097033,r09841048
u61430025,r98033240
u78491820,r53287425
u24621126,r44829797
u55888544,r90300460
u16994366,r62642777
u01247634,r88128001
u21823665,r54590393
u31525337,r42500389
u30603337,r27591178
u41275240,r55941228
u37553683,r57931000
u15831350,r47487739
u29382380,r61515921
u27587066,r86575873
u92190464,r96109192
u72149341,r74114558
u89527584,r93388954
u28087993,r23687710
u67016515,r43378096
u05840417,r74128438
u19235437,r80142948
u36248160,r86687480
u02040207,r35926018
u90688924,r21710828
u34749322,r12458010
u05707881,r36176153
u18722126,r42447706
u61090058,r96065557
u21734006,r16789342
u21473546,r22874704
u48440275,r24337544
u17725303,r97099642
u33233584,r61988228
u58317068,r72569287
u86818360,r77476423
u48795760,r42049478
u17745540,r52691311
u45055302,r94161711
u59624625,r42447358
u59539738,r84626146
u94800516,r12332837
u23514968,r60635674
u69765047,r05275474
u29035988,r82542314
u47832650,r95909423
u88564520,r72753331
u82110621,r01672699
u74926302,r40204241
u29391269,r23009559
u64908919,r78936472
u65983524,r02382458
u18983530,r47186759
u60077927,r80345701
u26687252,r36681249
u37195847,r09538828
u72353631,r19873554
u88736028,r77022339
u36206643,r93240710
u20947133,r00329682
u14947106,r40171717
u10892923,r24145107
u83726401,r91167440
u11152343,r10465188
u27118182,r38001911
u41738431,r61023576
u61780582,r32016570
u15995362,r78439776
u25184859,r24548879
u95412479,r20266934
u09436506,r44076655
u29619862,r44815327
u65643770,r27527664
u85063498,r16641024
u72051670,r45051953
u48680769,r22323169
u22401030,r97293497
u32188794,r71412902
u29946680,r57293437
u11660427,r76649757
u10443726,r03601704
u93132279,r22053790
u44330226,r73837975
u34523329,r15141510
u35586212,r19405090
u51297498,r84286163
u58561900,r31329666
u61791939,r67096415
u18260256,r12091427
u32543156,r63381258
u00345370,r03666261
u56119045,r99938572
u69720713,r23630344
u92224973,r74001550
u37272873,r63149786
u55974247,r15724635
u62314261,r31197701
u33187444,r47031625
u13924445,r14167626
u46175157,r63099212
u80223440,r33764835
u42234677,r08256525
u57025787,r47707857
u20600457,r69880807
u80592106,r40577960
u88873073,r47240644
u71038531,r90916723
u16653603,r22486974
u10153335,r87181880
u56712624,r53472801
u89918104,r31553293
u11832567,r75595428
u65914150,r62810210
u50067190,r84355616
u55678970,r10989853
u09763478,r83608187
u03929778,r40024457
u08330572,r45875555
u56271727,r33554980
u86929371,r39525377
u88936828,r84484802
u13235307,r89941630
u82937168,r91221013
u60908052,r76443694
u30352006,r81412765
u54949894,r66431366
u13652535,r36144393
u63137227,r01429383
u86671106,r42389610
u57301370,r93434821
u86525683,r13656544
u90398669,r54474530
u03497290,r06790213
u69595910,r12032920
u85269530,r39489219
u10327308,r74281019
u97105945,r25068793
u60586265,r36826517
u27224535,r72065324
u41365277,r28646623
u59530619,r01019232
u24674264,r96123368
u63681079,r58648835
u37452749,r37500909
u55567748,r98652178
u91111692,r25756692
u54228398,r41253978
u64492296,r34047286
u13081439,r78203648
u02057844,r31161933
u50444847,r30646577
u27628585,r32892232
u06063268,r20020188
u56860761,r79941758
u16852768,r32679923
u93445509,r53745670
u58214569,r08104492
u70755375,r81129321
u63992571,r96088509
u41351043,r82086856
u46532058,r17412834
u03698623,r18271091
u92177076,r04842931
u29214017,r25169491
u26610139,r62668627
u68800831,r89868976
u49000469,r73555828
u41951723,r00226992
u48835536,r44275053
u76479341,r45424324
u55192099,r90969759
u99199635,r78959103
u35606612,r69091502
u00817322,r74518342
u53663597,r72778957
u81706884,r25319580
u80536033,r79890259
u38223336,r62996835
u47932802,r32247393
u75266930,r04154614
u55924589,r68877508
u51550150,r86068318
u33672478,r42456884
u27027388,r58605085
u05001089,r36669585
u96644728,r23827706
u05839102,r41743081
u05784230,r54294847
u34942563,r75035581
u27288166,r44765439
u32383430,r48388889
u07376985,r12308254
u73223308,r43245485
u94969715,r36100346
u38270704,r98675544
u91643218,r79268350
u77131333,r39902437
u00154217,r99627315
u59846246,r63677831
u29366034,r06243882
u16649753,r78386657
u55066242,r71408316
u67881851,r15353823
u90783434,r60599074
u34467072,r06251268
u69090727,r68045247
u59581885,r77940294
u20054679,r51397943
u71390435,r26257732
u47782809,r06006358
u24181519,r19886413
u79242718,r43702511
u25792397,r56365257
u32838361,r60856541
u39331780,r78169724
u01775596,r57736327
u68117622,r34659046
u01262792,r43559193
u03485488,r79361711
u44375288,r70441009
u98794780,r88004522
u37828477,r52760867
u53523589,r75813787
u26298911,r71804112
u61495778,r00654021
u73155609,r91233962
u13420738,r66206463
u86312119,r10955895
u54704696,r99940993
u06188728,r09139818
u32011307,r59307987
u29787144,r10235304
u52635784,r84521751
u50644477,r54275365
u30368803,r26539185
u15032379,r38756661
u18507419,r05747422
u31470845,r51606923
u95732443,r31292558
u46676208,r86716289
u23125708,r98733131
u26625239,r52724249
u70465949,r71089888
u38640618,r83708602
u52348008,r69959446
u16968746,r33186903
u58725964,r59490772
u80441634,r45048705
u89750134,r08675052
u86811420,r12769890
u29508243,r58218037
u99454356,r84528861
u28445593,r65626045
u20590450,r06537628
u13742752,r99291799
u19707742,r44520748
u15032379,r04509619
u22653363,r77726618
u18832425,r60840633
u07480627,r91893343
u02458662,r13022564
u32282436,r02747965
u97887697,r48228158
u64430837,r19805296
u60350366,r13573351
u55731325,r20880704
u00671826,r82715355
u62104759,r44453901
u57146295,r93207352
u13520639,r65589469
u04445224,r81069101
u50372915,r63246860
u62446972,r65384818
u01824655,r08901227
u72633876,r02919488
u80789540,r88684419
u97485356,r28754810
u51251702,r38714147
u64030538,r78328651
u49382182,r20267585
u47988500,r75949349
u96737226,r02309472
u37432896,r88920516
u34758530,r00987499
u48792567,r16668107
u44375288,r19393573
u47322798,r19063705
u28445593,r96480357
u46423444,r96975534
u00269064,r94895703
u39751169,r82222228
u42406512,r11699654
u38596280,r25141326
u41722024,r00751711
u82305586,r41376615
u38596280,r63810225
u20367113,r09808030
u09580738,r91741546
u90905046,r99192714
u10322056,r63269786
u24411757,r14261422
u78244775,r72267634
u44519787,r47920580
u10678545,r46854670
u39829169,r66831730
u51390973,r35652497
u40481122,r65783164
u62354905,r39441432
u66940078,r56979704
u39235695,r74519653
u22630092,r72884833
u44258419,r26531674
u15084183,r86389893
u33080776,r07813611
u05470435,r39884084
u57901807,r00479803
u65450986,r38521657
u94872926,r01963207
u04475303,r03659339
u75870625,r16417396
u83786636,r78912576
u36888196,r51816268
u83898531,r44616915
u89968017,r37780639
u58700045,r56218566
u88153412,r98968132
u99254473,r63520250
u94839718,r80010121
u32644143,r07061891
u54948977,r12591261
u55082171,r06455019
u57036391,r61366185
u05013849,r87823163
u02905925,r70615190
u99463112,r94838568
u49041460,r74319195
u20172554,r37075423
u00062023,r33668673
u05704366,r02752356
u74489084,r12107185
u46850145,r33445659
u80128183,r92345669
u53274598,r75360243
u39328975,r96847379
u32100450,r28991185
u57146295,r38197062
u70611100,r09747402
u51766563,r68477500
u34151312,r65998076
