userID,bookID,prediction
u37758667,b99713185
u96217137,b22844023
u65135412,b85044093
u69157976,b29422431
u60433437,b86547231
u87635172,b12380973
u33923576,b19847589
u08344325,b18378777
u66498298,b60950824
u78647159,b63721105
u67116404,b18610759
u67791591,b52244646
u14211629,b55994348
u43587809,b06744499
u37193103,b55716906
u24217046,b63499729
u06069924,b52890349
u15391132,b10340684
u01872460,b39203721
u26962877,b39768400
u66281178,b09123950
u65299580,b43892559
u99408862,b13254837
u91984257,b93992548
u29873526,b95056972
u16284518,b47532815
u06663874,b76757424
u62015662,b63602718
u27398174,b25649279
u11067390,b03267968
u75767764,b76677797
u78313203,b41242113
u19723614,b09365531
u03795661,b80754789
u29897790,b70562203
u39427052,b34496636
u11013041,b48215292
u01746196,b39217525
u67318811,b63778311
u16549020,b13798173
u61015648,b72512930
u57435563,b78388004
u15556938,b31687952
u79750338,b90457746
u41539817,b63983930
u48468579,b85936571
u99914629,b31057073
u65935295,b94383831
u67787222,b98676746
u99402672,b38730188
u85707034,b73121339
u45707540,b66821727
u59993831,b75600487
u88060621,b18939723
u66108479,b86233666
u78429587,b48550082
u78188820,b16571480
u25549601,b10751789
u20864079,b43699450
u80007661,b71294015
u28207474,b29381261
u67073203,b78837103
u93479410,b83439687
u20851233,b14583516
u01085858,b50627544
u60775907,b22439341
u70384013,b90449605
u74179190,b96533725
u98405201,b76401400
u90681353,b15869276
u59203860,b34532370
u92899534,b08916036
u40734619,b83392964
u68841179,b12430166
u04777461,b18269786
u26452021,b50384790
u35701429,b69155228
u52581825,b58973293
u89167556,b73508249
u57476412,b13363712
u04884135,b67017847
u82183048,b40598851
u33115808,b13663830
u94527726,b59349150
u30806009,b23048373
u81040006,b23711476
u90784225,b18562445
u43972527,b01626256
u11888545,b88110572
u84178748,b04161893
u34037750,b36541444
u64398393,b67877559
u62433677,b66416013
u80180591,b21398815
u52501920,b13798173
u13411690,b55111127
u18040686,b28801125
u11551073,b70319465
u18472108,b22348421
u91053094,b75511430
u63300082,b03839635
u31576739,b19822827
u33449920,b83206128
u39456243,b46006537
u29537106,b58973293
u20409355,b95371334
u06339963,b45675681
u24520689,b22219606
u95657157,b52485134
u07811330,b60484296
u64997189,b37402272
u22008538,b28717296
u05055225,b75100696
u65410337,b40477781
u75084914,b93997659
u88256672,b14338293
u97580645,b08545824
u87893149,b02981164
u34277482,b02496048
u67254919,b38337565
u76617613,b06167371
u35326165,b83749692
u66448126,b71734908
u94457580,b85650405
u76978999,b36312601
u00451291,b75781381
u63062469,b39709801
u89685883,b26635003
u56012734,b74511960
u35701429,b86132526
u07717247,b49542120
u44181165,b12151882
u07940402,b84268259
u32881555,b10653088
u64285035,b39255385
u09217487,b53201085
u09236203,b05100373
u91852486,b63603925
u52176178,b39664275
u21235338,b22219606
u73747333,b54791634
u41070313,b36231626
u68224274,b42749067
u84537865,b50559748
u03629197,b09049778
u41066595,b64278334
u43769156,b74698336
u72102241,b69314705
u34464249,b35526856
u50835952,b85255296
u71095681,b56706758
u88291196,b60484296
u56183354,b19555371
u88404428,b18591671
u67857862,b83982250
u11393996,b90569300
u40689707,b79641805
u60256387,b04821192
u00867220,b66733623
u60570653,b38494750
u42599779,b20790379
u25249272,b90695144
u84248000,b29431366
u18087204,b96783065
u47660947,b38834628
u16724692,b70912031
u43547543,b87210120
u65236118,b71754810
u60255310,b67877559
u40346896,b21893915
u76388730,b86376623
u86857307,b07500263
u62304953,b33849296
u89255444,b50443121
u11551073,b36699592
u62654307,b94989213
u02603577,b67873731
u42254019,b05154189
u39830749,b91302109
u25867418,b37926059
u09965774,b16000102
u74785599,b93063051
u44268721,b30290521
u10316008,b86788370
u28761230,b36914684
u56457469,b29751550
u35409605,b82633202
u49928458,b49708294
u78593428,b67584295
u77146748,b97371893
u94532964,b20878004
u31664858,b03047230
u48965029,b42224573
u77053891,b33699537
u41554752,b74770858
u76034879,b83206128
u73523973,b65442043
u65815425,b95835140
u62476721,b09979253
u36253444,b78768152
u99239293,b35067156
u95609691,b56915887
u65033540,b99069142
u66310181,b81969933
u29697254,b23544153
u17377815,b14699281
u00412365,b13890679
u95150026,b43196456
u77801001,b92598217
u49201446,b45498653
u23284185,b16938404
u57565666,b28334886
u93950493,b12526023
u63829990,b26138336
u12792688,b43914262
u15966640,b39081955
u61495778,b43722165
u35656621,b55372354
u19042551,b49708294
u51259451,b61832520
u90217436,b18413581
u19437152,b46406881
u70119162,b71055662
u35715079,b62761201
u08225505,b51379871
u13948831,b79253970
u81792338,b45373576
u31174338,b52580354
u46939128,b08545824
u41184936,b36265270
u43188614,b64726611
u20692460,b51927662
u92413192,b96990898
u10036910,b87566177
u53992153,b04222499
u58869438,b09472826
u18955788,b33979371
u14238079,b08330741
u92475566,b81940295
u18973790,b33110278
u08292717,b92631370
u92200931,b70302969
u26495524,b65216323
u14211629,b90457746
u07983137,b61571243
u92122903,b70016806
u02634444,b23493033
u52501920,b27179218
u29501080,b37068431
u13891964,b93573763
u15334446,b89765180
u94374698,b95218578
u82237145,b33106356
u88453886,b10369117
u70920514,b70055485
u54010094,b23555475
u26620170,b29802159
u38982611,b74929101
u29084780,b31582404
u59357268,b75866249
u93432871,b82618642
u99678054,b67349713
u61390499,b24886026
u66875289,b67474210
u33023197,b72795955
u47208813,b62039529
u13443881,b68255642
u92131415,b22893821
u06447899,b56915887
u56818871,b08573501
u13452665,b29802159
u75501312,b29316857
u85132042,b67150201
u93986318,b36903585
u81798559,b51573020
u43775713,b31365966
u09076589,b39994787
u52264986,b36688616
u36405888,b74415195
u10856003,b09526635
u39043280,b22338698
u99020810,b02373235
u10364547,b28519607
u78588810,b66908318
u59236064,b56970025
u33833943,b05656321
u54500750,b05643903
u30289787,b93336156
u25284601,b55498630
u59353191,b54872512
u16889842,b33091876
u68991027,b72572643
u64738765,b49553867
u52994660,b02534240
u78008181,b95437093
u56356361,b57649350
u68134700,b33391853
u99014431,b89863217
u24693802,b54791634
u91535781,b83638329
u61734973,b36742728
u94430872,b04631642
u68144596,b43915900
u11567969,b67584295
u09097314,b68924301
u78381936,b27787131
u59698276,b40808727
u51237510,b86785429
u83454601,b03946791
u42489618,b13298774
u73164684,b19867465
u24307712,b76177361
u12483090,b48867860
u26157353,b81165148
u73894144,b57648353
u60125642,b52251630
u92918332,b08916036
u58089452,b99246476
u40238583,b95021405
u37211173,b99256359
u25150350,b52648851
u02673636,b40260602
u90678176,b63886614
u95421886,b36130502
u19437152,b33733144
u63511462,b57176373
u90783434,b59192498
u95398992,b64947542
u54913471,b83644107
u34462098,b72304066
u48314390,b68959843
u73947280,b56248149
u88294871,b51332181
u20110142,b88733051
u64180998,b37706230
u11577442,b02624512
u24627448,b07611214
u77321296,b68959843
u02791388,b78275112
u31390173,b70664431
u01522947,b74214703
u21958146,b69663057
u06377720,b09555289
u76802936,b60950824
u40452117,b68325129
u11915055,b96220809
u50607978,b29193193
u15559133,b77357094
u78942417,b28941102
u90856200,b78275112
u49457857,b35750024
u78465231,b42227543
u95269519,b74821603
u63576642,b53683755
u29210238,b61423505
u71159455,b83003028
u19144971,b55226287
u95598132,b81907672
u83397652,b86376623
u92542304,b98115511
u69356000,b40784015
u39893409,b59068329
u73534494,b39810321
u61831453,b95056972
u14136068,b80596289
u03142421,b42027204
u07128307,b04767223
u38715535,b98413533
u39668859,b43722165
u36226151,b50581040
u56982121,b98897572
u86835538,b81165148
u22892814,b15764467
u37418060,b89076715
u31512230,b02310665
u16738008,b20280920
u61148576,b62282738
u74906455,b96677697
u64609686,b73928988
u25604026,b60434059
u39863472,b29576446
u72699912,b21498435
u62689724,b39216951
u90257184,b75920771
u61136435,b51260968
u61594129,b41029487
u28900632,b42232720
u85466643,b18610759
u98405201,b52736396
u26963635,b39312928
u15192312,b89324149
u31695007,b26940296
u43743452,b98897572
u43760622,b09089626
u62015662,b20219571
u59765453,b46006537
u77673592,b68150157
u91631824,b41828254
u87358127,b64507769
u87278144,b91908533
u16348497,b54161431
u03411737,b25142577
u18375829,b55877230
u68224274,b66739789
u10137361,b92820276
u38757540,b90515626
u61307887,b77759871
u38627902,b12315103
u64879580,b99989469
u70832023,b05332134
u68224274,b06167371
u25992469,b39356458
u50754602,b22196035
u51259451,b40845464
u65080619,b84268259
u01283146,b14836170
u25247121,b09049778
u95474371,b30018535
u13314718,b97760414
u60025933,b06618138
u96083700,b28717296
u41245991,b33023213
u34697449,b63603925
u50835952,b73220043
u22611882,b36299646
u39513699,b65216323
u07647919,b10751789
u45370415,b84770798
u51259451,b34162962
u53191000,b79686261
u89811916,b81899028
u09290044,b10264575
u03016100,b48140983
u16162002,b40662707
u58588143,b13298774
u59077802,b10924257
u62531263,b00524153
u13624293,b41907233
u12898116,b30769966
u04134741,b80236573
u80790488,b16792882
u77839767,b72154616
u00442993,b96667532
u80712308,b75592641
u06770464,b30769966
u31243877,b01714936
u73894144,b98508664
u34828590,b82195188
u74163226,b89202972
u40545096,b74821603
u98516054,b85646463
u61123213,b19363346
u56452808,b61962731
u04547712,b57622060
u75470899,b84154184
u51796076,b26315023
u60593746,b51332181
u72096461,b09049778
u70123780,b27805537
u61006394,b97333358
u93271013,b33860867
u64183002,b48270179
u92560621,b00524153
u84087070,b62761201
u73528797,b00158867
u61390499,b06320395
u26129499,b82757636
u10695422,b08004121
u15366900,b11089852
u31485934,b62307846
u58417848,b26138336
u50839870,b32462937
u01537682,b70664431
u24637052,b85912617
u22657768,b11997124
u28719500,b76308225
u42894223,b10525273
u50146381,b14689682
u07647283,b19455550
u29560116,b16049523
u01556256,b02987432
u55218346,b82148195
u29477411,b10377853
u78999803,b82148195
u04901979,b65629315
u46692287,b34849626
u72562689,b93066649
u30391997,b01714936
u59923159,b09317112
u69356000,b57431318
u04601822,b29576446
u50073297,b76040943
u35331717,b76321859
u70942160,b14304119
u77485951,b29998162
u64451348,b25491043
u77547103,b59248773
u88076605,b21674268
u20429895,b61797502
u17277487,b38905954
u26349134,b64138226
u76549666,b91590459
u52776620,b18610759
u60906675,b89921216
u24498632,b62474102
u98830768,b19483433
u62261840,b42313805
u74810169,b76257477
u56310054,b98940952
u28411476,b40128170
u36972830,b45954724
u09180111,b46024181
u00495523,b26305615
u56045244,b00810060
u36518525,b44747227
u84864167,b68456479
u76776251,b10940603
u61511488,b79838712
u04353573,b77675822
u63300082,b75393483
u32916635,b08545824
u02062618,b49358330
u99493936,b86547231
u52540578,b39916665
u20236028,b14632405
u45637994,b11342562
u30012825,b14851731
u05509310,b68722069
u21370704,b69294942
u80351548,b04940541
u33906012,b74821603
u04294181,b54218637
u63866223,b05154189
u52275508,b61743606
u33991381,b51612619
u41470794,b94115384
u77286686,b37539465
u55192099,b40513604
u33139623,b06167371
u44135832,b63603925
u38222613,b41399471
u80094671,b13528908
u80808549,b44966320
u85592917,b07812624
u78208769,b98516747
u65622041,b13517988
u75114233,b55373287
u99697918,b85741718
u68799067,b89061717
u12753288,b76932568
u87077011,b40715352
u95701010,b65540932
u97745479,b98677403
u95701010,b83758153
u13979153,b06167371
u85552504,b07831192
u28525813,b38594218
u89287237,b95000069
u66422273,b54369491
u41302839,b38940690
u77695392,b31475886
u49202345,b91207020
u21188040,b76040943
u94430872,b26385014
u65751729,b75798712
u92220799,b05726387
u15678617,b18147526
u88160149,b20278972
u47622362,b52296426
u78308541,b08632997
u14754043,b65933939
u88458070,b23760358
u87342103,b88121768
u79292124,b29738200
u07286926,b94989213
u68877525,b60339426
u15917093,b35513571
u01471533,b00524816
u42515360,b68763841
u48380934,b29576446
u95609691,b77690662
u01463099,b69693821
u65031729,b34101299
u18532995,b17773724
u91845111,b14569834
u92399335,b41341679
u86864433,b78457511
u66206976,b19822827
u91260617,b97897718
u47882961,b20144597
u08696969,b82219728
u93156409,b24274613
u14526503,b47873173
u21916867,b72717928
u65548220,b10136233
u18955788,b85242986
u45750350,b29802159
u93921587,b54506494
u88959228,b72969078
u31576739,b84097508
u18040686,b97972319
u11732455,b46584434
u33506972,b55547269
u02463087,b65442043
u55917884,b58990319
u74174302,b45110645
u42295771,b52596260
u25425477,b19830299
u08954049,b63303984
u52559328,b67165478
u41724815,b18362071
u19350864,b56581283
u38534545,b23760358
u11980512,b28004871
u48496200,b59032154
u73363481,b91207020
u12089845,b27073481
u63554661,b93455552
u77953582,b52001713
u39780416,b17773724
u23312000,b38757143
u12792688,b69001677
u77812132,b37657413
u49243225,b47881381
u07553903,b19555371
u07401099,b55067058
u35637878,b90639021
u90533550,b26371791
u32731150,b07278059
u11921151,b88487078
u72198475,b06220705
u24333800,b57276379
u96873428,b52227953
u75783158,b68784920
u80875285,b45954724
u84346299,b51597533
u34688113,b57429125
u51753276,b91712126
u71049250,b20135529
u51068168,b44966320
u36565946,b80156220
u84143705,b16179291
u95129293,b04370644
u61741144,b61607837
u60108040,b42749067
u88478795,b91972008
u20890693,b70983385
u05585267,b39217525
u26157353,b36030424
u67561061,b70065025
u19877516,b90515626
u62029571,b92943233
u36972830,b46873727
u44044692,b79928088
u21708041,b41566519
u31378268,b88953396
u19703448,b54695184
u37689928,b25020940
u61984057,b78008834
u32738192,b39676787
u14230627,b78750301
u70598867,b93251796
u60659511,b77457719
u15156309,b92830722
u13505099,b43576258
u42449607,b67873731
u85501764,b60584705
u57453088,b17187529
u81892290,b89024434
u81317771,b57276379
u64243293,b78837103
u87585758,b60500282
u99370997,b62307846
u34230495,b93615477
u63288443,b45384126
u12467518,b18940689
u79713024,b97218983
u53996003,b19867465
u88732797,b26194138
u81293080,b73703618
u16968302,b20599324
u44273444,b75541992
u63176188,b90844342
u71549068,b23904035
u85203854,b23091439
u94155285,b27107887
u88451876,b23461395
u83270826,b42693499
u70113081,b04601597
u32751728,b90171057
u58002501,b12894375
u09304182,b78430581
u33907495,b09258556
u05515717,b74960873
u88946459,b95113879
u55015137,b04374540
u93142423,b99983531
u58532590,b69164021
u51822090,b72172561
u04515800,b41399471
u15917093,b22522904
u94220088,b19139371
u90254377,b57648353
u66788491,b15651683
u19102514,b06781594
u82894503,b54987031
u47068307,b08599318
u03223686,b66409189
u10597041,b78275112
u46983279,b27727441
u68289888,b95816463
u87288300,b08004121
u76489507,b74079350
u28019541,b71790735
u81819770,b57002888
u20284163,b67165478
u11734411,b88451464
u00823454,b17064684
u82894503,b47821322
u62456072,b66646834
u68221858,b18378777
u81793387,b37068431
u80874682,b97770488
u82400967,b44944170
u58350568,b15301527
u84359831,b31988440
u02059459,b93745301
u19107609,b05776993
u30965491,b21265363
u57548821,b11038539
u81792338,b51332181
u08922617,b10567312
u17178913,b33798237
u11304856,b59845564
u58563514,b93063377
u35934691,b17187529
u35371792,b02688310
u64580809,b96220809
u06601591,b83883015
u70609334,b37291845
u57372506,b84918397
u30307382,b95371334
u53142082,b31475886
u21423462,b57766998
u42789744,b29618673
u64758440,b68047806
u39439001,b93745301
u82239670,b18610759
u58594298,b80730701
u77381581,b83439687
u25753456,b87709656
u93140052,b18543556
u78999803,b05331444
u20654763,b70912031
u13095872,b84661358
u18957695,b20704841
u60224313,b98750028
u13979153,b78430581
u24307712,b69294942
u84183781,b29422431
u24498632,b13405388
u38037570,b50005872
u79289822,b15193806
u47430962,b62334735
u39811438,b54781444
u03819003,b32462937
u05376488,b54620720
u41571049,b28099864
u76181448,b04374540
u01662164,b91302109
u48303520,b42283267
u32751728,b80167569
u78890347,b70562203
u02873207,b78359727
u34956593,b03516455
u18295350,b28056229
u28103358,b68297715
u62064842,b25721006
u22811373,b65481557
u19585878,b86602880
u48773373,b76793631
u46197072,b91758795
u48979633,b10940603
u18246246,b59126161
u97363102,b95816463
u10584862,b34240968
u60145022,b45324974
u19559277,b91668729
u63715088,b25847150
u02009355,b96921455
u93394218,b85901970
u60396492,b86284485
u78111866,b78457511
u92479451,b46098068
u30681822,b94397089
u87490543,b34101299
u65447822,b20287395
u88406066,b67380674
u15975314,b84004598
u98404128,b33846906
u19256665,b35032773
u39660365,b43407555
u92467232,b60040111
u67275368,b06552909
u94542189,b43667628
u33433299,b27904082
u19359999,b86966795
u87204909,b22782707
u38101806,b14013622
u48690385,b10847759
u40681266,b18847511
u87612796,b88375829
u56556094,b98823102
u99556899,b10377853
u22180765,b18610759
u52631253,b73898225
u19834842,b90354954
u59068150,b34849814
u08076131,b64932806
u11351870,b28287130
u32377455,b80148620
u62252817,b20480775
u71168005,b41863473
u90967976,b42046854
u55180418,b31964420
u79099640,b71375617
u10887130,b93971844
u01515604,b38714166
u01453733,b59068329
u50798139,b54043673
u66656293,b33798237
u53257714,b08797940
u48084266,b75608279
u17550007,b67550881
u61489948,b16776118
u08697979,b86815198
u13443881,b33470089
u12815673,b43826843
u83962830,b34736748
u41089322,b45357639
u94374698,b89859506
u35574942,b31940706
u17824029,b52648851
u43534076,b03579093
u36079679,b82785620
u21496008,b07378867
u35460788,b33110278
u37939016,b77813452
u30985302,b56787707
u61741144,b35620613
u02989972,b55719416
u66534902,b16000102
u44402852,b31362596
u77076759,b67017847
u98118118,b64898087
u35585970,b70509391
u93720290,b04797457
u33113082,b08545824
u89262859,b63774401
u39885225,b21048199
u69020223,b62853608
u90240930,b28519607
u79032033,b31964420
u85173080,b30933014
u44519787,b24365008
u63554661,b96621963
u57166928,b09171164
u81886187,b57002888
u77303699,b05280569
u86219817,b42749067
u28431647,b83003028
u95833466,b05231805
u35931831,b66705307
u16455764,b43916544
u61498569,b67030393
u87513228,b23461395
u65480298,b89817655
u39780416,b74821603
u53569052,b63993683
u64580809,b83278802
u48496423,b45869940
u18841473,b30188578
u03147093,b36231626
u66402456,b58379984
u29210238,b98335764
u63008310,b98514694
u46353403,b55106604
u93324148,b41341679
u30289132,b99281520
u68019651,b02560493
u79244850,b70930132
u17202002,b35873913
u16529761,b66379670
u47409526,b09049778
u19182886,b06167371
u41722913,b80625075
u91055602,b53115340
u61569659,b66841218
u89806996,b29316798
u54424129,b07831192
u34934813,b14247162
u66791677,b54791634
u97450455,b63791555
u42648977,b04493477
u67675117,b24837570
u21054426,b05154189
u40610216,b57808985
u64899424,b93497216
u00343094,b99719030
u57945083,b39837030
u82866002,b76670139
u96542735,b49542120
u52945063,b84268259
u57289446,b17326654
u93026622,b71794852
u74934384,b14583516
u37747560,b10161001
u26280637,b36270312
u78918676,b39081955
u26226553,b17585340
u13895467,b21557753
u76099025,b21674268
u94486693,b35701970
u11167635,b30381917
u67196969,b39125372
u54188926,b29802159
u36974571,b17773724
u68676470,b08216926
u63930554,b92825072
u08188097,b98256804
u69686454,b35750024
u53423006,b35202318
u19341854,b13831846
u14162455,b07811476
u29406320,b66416013
u59760546,b06831882
u48264563,b52429342
u84602737,b32288653
u99866287,b33470089
u96261712,b59061395
u58132822,b80148153
u38298370,b89206056
u18323646,b57640606
u78550924,b10377853
u50240445,b16647118
u42414432,b47027276
u48190309,b19208256
u31455377,b26138336
u50341443,b89324149
u78198759,b11179371
u08387827,b14889289
u89247106,b50851932
u72762563,b41801023
u51951892,b54974037
u10923074,b26924525
u07553903,b70462009
u58279293,b07107379
u86102166,b77173932
